Resource Name,Resource Type,Resource Group,Location,Subscription
vm-web-prod-01,Microsoft.Compute/virtualMachines,rg-production,eastus,Subscription-Prod
vm-web-prod-02,Microsoft.Compute/virtualMachines,rg-production,eastus,Subscription-Prod
vm-db-prod-01,Microsoft.Compute/virtualMachines,rg-database,eastus,Subscription-Prod
storage-app-01,Microsoft.Storage/storageAccounts,rg-storage,eastus,Subscription-Prod
storage-backup-01,Microsoft.Storage/storageAccounts,rg-backup,westus,Subscription-Prod
aks-cluster-prod,Microsoft.ContainerService/managedClusters,rg-aks,eastus,Subscription-Prod
acr-images-prod,Microsoft.ContainerRegistry/registries,rg-containers,eastus,Subscription-Prod
sql-server-prod,Microsoft.Sql/servers,rg-database,eastus,Subscription-Prod
sql-db-app,Microsoft.Sql/servers/databases,rg-database,eastus,Subscription-Prod
cosmos-db-prod,Microsoft.DocumentDB/databaseAccounts,rg-database,eastus,Subscription-Prod
redis-cache-prod,Microsoft.Cache/redis,rg-cache,eastus,Subscription-Prod
app-service-web,Microsoft.Web/sites,rg-webapp,eastus,Subscription-Prod
app-service-plan,Microsoft.Web/serverfarms,rg-webapp,eastus,Subscription-Prod
function-app-01,Microsoft.Web/sites,rg-functions,eastus,Subscription-Prod
logic-app-01,Microsoft.Logic/workflows,rg-integration,eastus,Subscription-Prod
keyvault-prod,Microsoft.KeyVault/vaults,rg-security,eastus,Subscription-Prod
vnet-prod-01,Microsoft.Network/virtualNetworks,rg-network,eastus,Subscription-Prod
nsg-web-tier,Microsoft.Network/networkSecurityGroups,rg-network,eastus,Subscription-Prod
lb-web-prod,Microsoft.Network/loadBalancers,rg-network,eastus,Subscription-Prod
pip-web-01,Microsoft.Network/publicIPAddresses,rg-network,eastus,Subscription-Prod
appgw-prod,Microsoft.Network/applicationGateways,rg-network,eastus,Subscription-Prod
firewall-prod,Microsoft.Network/azureFirewalls,rg-security,eastus,Subscription-Prod
vpn-gateway,Microsoft.Network/virtualNetworkGateways,rg-network,eastus,Subscription-Prod
eventhub-ns-prod,Microsoft.EventHub/namespaces,rg-messaging,eastus,Subscription-Prod
servicebus-ns-prod,Microsoft.ServiceBus/namespaces,rg-messaging,eastus,Subscription-Prod
apim-prod,Microsoft.ApiManagement/service,rg-api,eastus,Subscription-Prod
databricks-ws-prod,Microsoft.Databricks/workspaces,rg-analytics,eastus,Subscription-Prod
synapse-ws-prod,Microsoft.Synapse/workspaces,rg-analytics,eastus,Subscription-Prod
datafactory-prod,Microsoft.DataFactory/factories,rg-data,eastus,Subscription-Prod
iothub-prod,Microsoft.Devices/IotHubs,rg-iot,eastus,Subscription-Prod
cognitive-vision,Microsoft.CognitiveServices/accounts,rg-ai,eastus,Subscription-Prod
ml-workspace,Microsoft.MachineLearningServices/workspaces,rg-ml,eastus,Subscription-Prod
monitor-workspace,Microsoft.OperationalInsights/workspaces,rg-monitoring,eastus,Subscription-Prod
app-insights-prod,Microsoft.Insights/components,rg-monitoring,eastus,Subscription-Prod
backup-vault,Microsoft.RecoveryServices/vaults,rg-backup,eastus,Subscription-Prod
disk-prod-01,Microsoft.Compute/disks,rg-production,eastus,Subscription-Prod
snapshot-vm-01,Microsoft.Compute/snapshots,rg-backup,eastus,Subscription-Prod
avd-hostpool,Microsoft.DesktopVirtualization/hostpools,rg-avd,eastus,Subscription-Prod
bastion-prod,Microsoft.Network/bastionHosts,rg-network,eastus,Subscription-Prod
frontdoor-prod,Microsoft.Network/frontDoors,rg-cdn,global,Subscription-Prod
cdn-profile,Microsoft.Cdn/profiles,rg-cdn,global,Subscription-Prod
dns-zone-prod,Microsoft.Network/dnszones,rg-dns,global,Subscription-Prod
private-dns,Microsoft.Network/privateDnsZones,rg-dns,global,Subscription-Prod
container-instance,Microsoft.ContainerInstance/containerGroups,rg-containers,eastus,Subscription-Prod
signalr-prod,Microsoft.SignalRService/signalR,rg-realtime,eastus,Subscription-Prod
notification-hub,Microsoft.NotificationHubs/namespaces,rg-notifications,eastus,Subscription-Prod
user-identity,Microsoft.ManagedIdentity/userAssignedIdentities,rg-security,eastus,Subscription-Prod
netapp-account,Microsoft.NetApp/netAppAccounts,rg-storage,eastus,Subscription-Prod
express-route,Microsoft.Network/expressRouteCircuits,rg-network,eastus,Subscription-Prod
